x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,y
0.28648,0.89593,0.80969,0.87827,0.64812,0.47133,0.5105,0.40881,0.76693,0.21575,0.44495,0.6072,0.57433,0.76626,0.67568,0.97218,0.35291,0.79898,0.64758,0.29219,0.22515,0.50736,0.95121,0.80162,0.94811,0.42564,0.29729,0.81391,0.65313,0.15591,0.39928,0.47136,0.63769,0.49293,0.45721,0.6891,0.59835,0.13117,0.63455,0.80785,0.50284,0.99571,0.27694,0.25084,0.67153,0.05821,0.12307,0.76618,0.6469,0.26582,0.84917,0.7507,0.37016,0.46942,0.3792,0.59141,0.47331,0.22811,0.20043,0.82823,0.75154,0.37711,0.057362,0.28353,0.92722,0.23205,0.54356,0.93392,0.57205,0.52472,0.86722,0.68647,0.58096,0.24894,0.86779,0.89003,0.9998,0.6437,0.56473,0.52183,0.70593,0.39942,0.38776,0.3978,0.55166,0.43274,0.34201,0.94869,0.57765,0.64418,0.87207,0.94774,0.99714,0.26502,0.97777,0.6319,0.8977,0.39686,0.53171,0.93642,27.47
0.32532,0.53193,0.078743,0.66625,0.38823,0.62899,0.53515,0.30681,0.897,0.42708,0.020121,0.93975,0.27973,0.24933,0.84403,0.72708,0.065012,0.64436,0.87213,0.33806,0.82285,0.63223,0.77288,0.70219,0.32127,0.12733,0.73127,0.42271,0.074262,0.21021,0.57001,0.077636,0.043389,0.49469,0.41627,0.61401,0.20006,0.90309,0.87045,0.27897,0.9842,0.47387,0.60534,0.19223,0.68539,0.81168,0.43346,0.58652,0.86354,0.4276,0.724,0.034823,0.60337,0.39424,0.74703,0.70735,0.64588,0.14447,0.91781,0.34604,0.88993,0.12733,0.7696,0.47563,0.7864,0.5798,0.76283,0.44272,0.84561,0.87882,0.86319,0.77345,0.45834,0.15998,0.10269,0.20945,0.83111,0.88702,0.39289,0.44025,0.77304,0.10119,0.035652,0.57476,0.61951,0.0088443,0.40373,0.3866,0.29009,0.30921,0.31868,0.3337,0.2312,0.91655,0.16928,0.87464,0.90954,0.63294,0.12104,0.39628,21.392
0.93015,0.028085,0.012064,0.85262,0.55425,0.21705,0.83138,0.12825,0.1327,0.94282,0.39584,0.57725,0.20836,0.41152,0.20229,0.60395,0.69794,0.34,0.91778,0.74534,0.92791,0.29169,0.13664,0.75305,0.56141,0.95608,0.76195,0.070146,0.68946,0.21097,0.3075,0.57412,0.74471,0.48061,0.78318,0.37238,0.52669,0.33023,0.83495,0.57562,0.60628,0.93974,0.72809,0.34143,0.62402,0.74104,0.49522,0.89122,0.98695,0.39612,0.11528,0.20017,0.73215,0.68016,0.79207,0.91492,0.35478,0.99102,0.74012,0.017908,0.79112,0.90307,0.75163,0.45929,0.67977,0.38134,0.19089,0.0632,0.94382,0.78832,0.24354,0.65079,0.69567,0.14723,0.9179,0.73582,0.93009,0.96602,0.1328,0.56453,0.52031,0.80241,0.29411,0.58195,0.42712,0.95298,0.93489,0.80562,0.3273,0.33489,0.89322,0.22052,0.80507,0.51514,0.23926,0.075147,0.93928,0.14921,0.92512,0.62387,27.409
0.50167,0.026921,0.37751,0.18617,0.047276,0.92279,0.63676,0.63542,0.15857,0.32636,0.17887,0.1323,0.77882,0.012237,0.49196,0.8945,0.37219,0.32707,0.79901,0.43528,0.39172,0.041683,0.50267,0.86691,0.20578,0.6852,0.72017,0.91863,0.38381,0.3764,0.85451,0.88314,0.075199,0.84266,0.30605,0.90553,0.7889,0.092761,0.7741,0.12388,0.003472,0.96167,0.072415,0.22525,0.83182,0.38844,0.92826,0.80639,0.95255,0.54977,0.22956,0.21062,0.21243,0.72669,0.38745,0.85774,0.82986,0.69974,0.51846,0.82521,0.12123,0.88313,0.27889,0.56491,0.45637,0.83699,0.5794,0.085683,0.4343,0.29994,0.28294,0.41661,0.82877,0.43318,0.27547,0.12808,0.32628,0.44672,0.67722,0.69154,0.27179,0.25344,0.025891,0.90779,0.68025,0.92173,0.82877,0.44213,0.79938,0.81954,0.81993,0.32786,0.20987,0.36781,0.23182,0.16918,0.60293,0.039099,0.53155,0.69605,20.025
0.21729,0.12234,0.060263,0.38617,0.94925,0.65405,0.10899,0.41123,0.16765,0.70665,0.28885,0.16514,0.13789,0.60599,0.71356,0.3794,0.13134,0.83452,0.95816,0.7954,0.34482,0.5234,0.46997,0.47175,0.91957,0.31261,0.38792,0.53614,0.52148,0.065241,0.35968,0.87654,0.59273,0.15215,0.88596,0.37756,0.95129,0.39037,0.0095672,0.68836,0.15091,0.1055,0.62994,0.63782,0.49938,0.49726,0.30966,0.31614,0.73483,0.17586,0.71948,0.8642,0.90718,0.46506,0.26961,0.13117,0.47727,0.41908,0.63794,0.18608,0.017054,0.23179,0.2423,0.41709,0.19866,0.60957,0.62483,0.39411,0.42003,0.066182,0.33507,0.66033,0.90642,0.70423,0.50967,0.33634,0.14321,0.046285,0.54983,0.058944,0.7814,0.49008,0.36396,0.41784,0.30177,0.080155,0.74246,0.036913,0.53896,0.43833,0.32184,0.57328,0.095252,0.43198,0.078685,0.43965,0.21455,0.85982,0.83851,0.78669,20.045
0.35693,0.041774,0.43499,0.96601,0.48666,0.83269,0.35603,0.33111,0.95329,0.91299,0.67746,0.85426,0.81837,0.24855,0.0184,0.3232,0.59297,0.34586,0.37187,0.37071,0.09575,0.083988,0.52787,0.76102,0.28051,0.40578,0.088985,0.11015,0.019462,0.16641,0.48015,0.46359,0.29382,0.25625,0.63344,0.43266,0.22838,0.11901,0.42323,0.89392,0.74518,0.78322,0.20367,0.47175,0.80905,0.89479,0.30174,0.27411,0.69365,0.84156,0.53141,0.087832,0.4238,0.016999,0.7679,0.27378,0.037076,0.74729,0.41679,0.24057,0.94805,0.35364,0.93052,0.32386,0.49295,0.67071,0.50243,0.93594,0.91868,0.95238,0.060023,0.96541,0.32896,0.16489,0.75004,0.64548,0.68974,0.29868,0.55439,0.27474,0.60265,0.98514,0.7949,0.59481,0.057314,0.33266,0.86903,0.58097,0.29538,0.76883,0.83207,0.3731,0.085476,0.22243,0.029835,0.71246,0.12043,0.80144,0.34562,0.6502,21.178
0.53769,0.45886,0.54619,0.55391,0.3091,0.48502,0.80127,0.59836,0.28363,0.068435,0.68803,0.79234,0.74755,0.093921,0.47206,0.079652,0.24918,0.31774,0.72081,0.11136,0.63813,0.25719,0.0084032,0.0054491,0.26751,0.21812,0.71526,0.67976,0.99427,0.32295,0.15819,0.86543,0.91276,0.71615,0.60475,0.87097,0.24633,0.89059,0.085669,0.20963,0.82503,0.23869,0.11067,0.89429,0.53404,0.99934,0.94606,0.67863,0.95239,0.14481,0.44565,0.71109,0.26597,0.39492,0.29662,0.59755,0.44963,0.68196,0.77587,0.14276,0.82921,0.037702,0.16969,0.19046,0.2338,0.48159,0.87242,0.25532,0.39678,0.88294,0.52636,0.4009,0.70537,0.073626,0.12619,0.38533,0.95187,0.081735,0.77004,0.83176,0.11649,0.34424,0.82932,0.51033,0.90224,0.83449,0.85022,0.51572,0.17643,0.46936,0.60118,0.1335,0.83473,0.89316,0.63388,0.56327,0.057263,0.012704,0.27737,0.69881,24.691
0.67152,0.92929,0.018479,0.87215,0.37487,0.41526,0.81408,0.38362,0.8301,0.89843,0.52211,0.56091,0.47262,0.31756,0.018155,0.096844,0.79806,0.81525,0.68387,0.98162,0.061909,0.97497,0.41707,0.37418,0.35214,0.67283,0.30158,0.20352,0.89805,0.80469,0.44353,0.89022,0.1932,0.68328,0.8455,0.5468,0.85903,0.080473,0.43318,0.31877,0.11911,0.16361,0.84129,0.90124,0.46529,0.61159,0.80272,0.19256,0.5021,0.9585,0.33954,0.34761,0.71804,0.3619,0.033731,0.57781,0.92697,0.64819,0.80257,0.50478,0.17309,0.07326,0.6077,0.24432,0.29721,0.91587,0.89765,0.73903,0.068869,0.82981,0.66989,0.82215,0.063951,0.76658,0.51071,0.22529,0.97694,0.63924,0.076607,0.93644,0.82936,0.041464,0.09467,0.50074,0.9513,0.93981,0.1335,0.96215,0.22103,0.60032,0.4478,0.39721,0.77322,0.018373,0.63817,0.36706,0.72884,0.73831,0.74761,0.30651,21.695
0.41243,0.26272,0.62719,0.58527,0.74543,0.57067,0.67245,0.79651,0.6845,0.47676,0.45174,0.35376,0.14736,0.62134,0.8262,0.32506,0.15881,0.82165,0.6568,0.55603,0.99258,0.40645,0.24754,0.38282,0.11477,0.75952,0.98661,0.50268,0.53938,0.011801,0.34638,0.29911,0.31112,0.67796,0.46695,0.41098,0.13277,0.75302,0.42431,0.74162,0.55029,0.074958,0.54824,0.69533,0.80853,0.33979,0.53217,0.83162,0.597,0.95487,0.029405,0.13825,0.20404,0.74851,0.22649,0.2093,0.94919,0.069256,0.33399,0.93176,0.2082,0.29086,0.39043,0.53059,0.43077,0.26682,0.12685,0.0047312,0.51689,0.48491,0.3183,0.38669,0.15285,0.4908,0.51616,0.72248,0.053199,0.46417,0.18628,0.27903,0.087765,0.76017,0.66249,0.37368,0.37732,0.13914,0.75117,0.20486,0.64152,0.52999,0.98748,0.1726,0.93733,0.87843,0.99221,0.80179,0.83658,0.67546,0.24718,0.32744,24.023
0.36413,0.33067,0.32354,0.57584,0.84735,0.58789,0.076662,0.88243,0.30126,0.31242,0.86348,0.85367,0.28564,0.068816,0.33888,0.15986,0.74572,0.48768,0.29702,0.6573,0.53788,0.61613,0.43862,0.3315,0.77228,0.53136,0.1694,0.23831,0.27684,0.65542,0.91827,0.29892,0.34407,0.34795,0.2887,0.39278,0.36339,0.877,0.69615,0.86031,0.40397,0.6601,0.3924,0.81984,0.30981,0.19771,0.44571,0.55842,0.77199,0.21359,0.53293,0.49537,0.40906,0.78673,0.80496,0.13627,0.66051,0.41292,0.53281,0.58321,0.50182,0.37232,0.1684,0.053169,0.48505,0.42029,0.87773,0.30087,0.64358,0.84507,0.088264,0.14159,0.93426,0.80075,0.53192,0.37086,0.24712,0.54957,0.86277,0.52359,0.74317,0.98985,0.84608,0.28693,0.83701,0.80334,0.45685,0.89589,0.6897,0.27774,0.28133,0.68582,0.30896,0.80941,0.65351,0.37521,0.51278,0.54018,0.051907,0.096803,19.862
